survived,pclass,sex,age,sibsp,parch,fare,embarked,who,adult_male,embark_town,alone
0,3,male,31.692101693986544,1,1,40.2047248901357,S,man,True,Southampton,False
1,3,male,26.924879713715214,1,0,9.989454497127053,S,man,False,Southampton,True
1,2,female,16.701240288327018,0,0,12.138009667733082,S,man,False,Queenstown,True
0,3,female,9.224499312105959,0,0,4.282193763344969,S,woman,False,Southampton,True
0,1,male,4.586126367139428,0,0,34.102084313588776,Q,man,True,Queenstown,True
0,2,male,29.21026917232005,1,0,1.2995421169393682,S,man,True,Southampton,False
0,3,male,29.461324521520545,0,0,29.13642535277184,S,man,True,Cherbourg,True
1,1,male,13.126581668783636,0,0,65.21229482382054,S,man,True,Southampton,True
0,1,male,25.947497705224922,0,0,70.87579703269515,S,man,False,Southampton,True
1,1,female,-7.943319003638599,0,5,19.074848089425373,C,child,True,Cherbourg,True
0,1,male,39.90571596861602,0,0,19.67672012158016,S,woman,True,Cherbourg,True
1,1,female,-4.7384343394953135,1,2,2.562965029749687,S,man,True,Southampton,False
1,3,male,29.461324521520545,0,0,35.55147439239574,S,man,True,Southampton,False
0,2,male,29.21026917232005,0,0,55.098233605866724,S,woman,True,Southampton,False
0,3,female,36.53286408254532,1,0,8.978584088106944,S,man,False,Cherbourg,True
0,3,male,29.461324521520545,1,0,17.503123004022683,C,man,True,Southampton,True
0,2,male,57.25071149366534,0,0,58.41131210518103,C,man,True,Southampton,True
0,2,male,32.02843634195901,0,0,67.08962609393473,C,man,True,Southampton,False
0,2,female,43.750573589411246,0,2,8.91615387056353,C,child,True,Southampton,True
0,3,female,18.87152067581597,2,1,25.592850485313143,S,woman,True,Cherbourg,True
1,2,male,29.21026917232005,0,0,6.84171973557007,S,man,False,Southampton,False
0,3,male,29.461324521520545,2,0,3.438406824524545,C,man,False,Southampton,True
0,2,male,25.672268254345028,1,0,77.4551607964902,C,woman,False,Southampton,True
0,3,female,31.691286698733233,0,0,54.96390010351124,C,woman,False,Southampton,True
0,2,female,42.73194828792465,0,0,45.672377292645066,S,woman,True,Southampton,True
1,2,male,18.608786717317116,0,2,1.5998568025248412,S,woman,False,Southampton,True
0,3,male,29.461324521520545,0,0,59.397192733481695,C,man,False,Queenstown,True
0,3,male,32.578031151973164,0,0,18.442619489340846,C,woman,False,Southampton,False
0,1,female,42.84136837101204,0,0,13.412832619361359,Q,woman,True,Southampton,False
0,3,female,10.079759291512403,4,0,25.302652324873964,S,man,False,Cherbourg,True
0,3,male,38.38307856188274,0,0,3.0655637180153135,S,woman,False,Southampton,False
0,3,male,29.461324521520545,1,0,45.22369161698741,S,man,False,Queenstown,True
0,3,male,-2.828947627614255,0,0,27.946087754291852,C,man,True,Cherbourg,True
1,2,female,28.76849949653324,0,0,6.608643539374804,S,man,False,Southampton,True
1,1,male,29.14715521014964,0,0,6.67331008069153,S,man,False,Southampton,False
1,2,female,28.76849949653324,0,4,6.516662096613579,Q,man,False,Southampton,True
0,3,male,29.461324521520545,2,0,1.8781289030502244,S,man,True,Southampton,False
0,3,male,17.841960749849456,0,0,28.359771158336905,C,man,False,Cherbourg,False
1,2,male,29.21026917232005,0,0,58.712318235016575,S,man,True,Southampton,True
0,1,male,27.49417215397528,0,0,0.5648997573066281,C,man,True,Southampton,False
0,3,male,19.26938875790365,0,0,1.607875224024007,S,man,True,Southampton,False
0,3,female,28.4236273232243,0,1,27.213869334811392,C,woman,False,Southampton,True
0,3,male,36.51927166285601,1,0,54.7840191301283,Q,man,True,Southampton,True
1,1,male,29.72276927395691,1,0,12.659905479323198,S,man,True,Cherbourg,False
0,2,male,29.21026917232005,0,0,13.766075500219221,S,woman,False,Southampton,False
1,1,female,19.899766638613656,0,0,29.030349955169612,S,woman,False,Southampton,True
0,3,female,19.730168163453612,0,1,10.25595337176094,S,woman,True,Southampton,True
0,1,male,20.630682589204966,0,1,0.8630008421226177,C,man,False,Cherbourg,True
0,3,female,33.74340441135032,0,0,42.524421039273264,S,man,False,Southampton,True
0,2,male,15.08147870637498,0,1,31.44204344787975,S,woman,True,Cherbourg,True
1,3,male,29.461324521520545,0,0,27.817669996763716,S,man,True,Southampton,False
1,3,female,48.781926578775625,0,3,43.31430837372796,C,man,True,Queenstown,False
1,3,female,33.5599030093848,0,0,35.98849978991623,Q,man,True,Southampton,True
1,1,female,25.754862819823398,0,3,7.376742376989914,S,woman,True,Southampton,False
0,1,male,10.826223609235175,0,0,13.907430870620026,S,man,False,Southampton,False
1,1,male,29.14715521014964,0,0,4.313629807842474,S,woman,False,Southampton,True
0,3,female,12.619752891615228,1,0,4.451127310228557,S,woman,True,Southampton,True
0,3,male,40.87986848266047,0,4,36.08371523797284,S,man,True,Southampton,True
0,3,male,37.9392500483228,0,1,62.59722502767056,S,woman,True,Southampton,False
0,3,male,25.685239558503167,0,0,105.26834867426568,S,woman,True,Southampton,True
0,3,male,25.31829674707051,1,0,31.673439104664617,S,woman,True,Queenstown,False
0,1,male,29.14715521014964,0,0,6.5108832804270955,S,man,False,Southampton,True
1,3,female,27.837529551101177,0,0,3.573070969598002,S,woman,False,Cherbourg,True
0,2,male,37.67896865354127,0,0,53.6272011476744,S,man,True,Southampton,True
0,2,male,13.752878373930736,1,0,27.66541349062769,C,child,False,Southampton,True
0,3,male,26.81849935939256,3,1,30.818594469631712,S,man,True,Southampton,False
