Country Name,Country Code,Indicator Name,Indicator Code,2023
Aruba,ARU,"Population, total",SP.POP.TOTL,11731702
Africa Eastern and Southern,AFR,"Population, total",SP.POP.TOTL,75253035
Afghanistan,AFG,"Population, total",SP.POP.TOTL,32918642
Africa Western and Central,AFR,"Population, total",SP.POP.TOTL,22823563
Angola,ANG,"Population, total",SP.POP.TOTL,4240621
Albania,ALB,"Population, total",SP.POP.TOTL,4239907
Andorra,AND,"Population, total",SP.POP.TOTL,1495969
Arab World,ARA,"Population, total",SP.POP.TOTL,50280771
United Arab Emirates,UNI,"Population, total",SP.POP.TOTL,22977053
Argentina,ARG,"Population, total",SP.POP.TOTL,30781251
Armenia,ARM,"Population, total",SP.POP.TOTL,519982
American Samoa,AME,"Population, total",SP.POP.TOTL,87588936
Antigua and Barbuda,ANT,"Population, total",SP.POP.TOTL,44660738
Australia,AUS,"Population, total",SP.POP.TOTL,5967190
Austria,AUS,"Population, total",SP.POP.TOTL,5016974
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,5065285
Burundi,BUR,"Population, total",SP.POP.TOTL,9068843
Belgium,BEL,"Population, total",SP.POP.TOTL,18598195
Benin,BEN,"Population, total",SP.POP.TOTL,14138426
Burkina Faso,BUR,"Population, total",SP.POP.TOTL,8605574
Bangladesh,BAN,"Population, total",SP.POP.TOTL,23659271
Bulgaria,BUL,"Population, total",SP.POP.TOTL,3755863
Bahrain,BAH,"Population, total",SP.POP.TOTL,8637887
"Bahamas, The",BAH,"Population, total",SP.POP.TOTL,11406930
Bosnia and Herzegovina,BOS,"Population, total",SP.POP.TOTL,15223367
Belarus,BEL,"Population, total",SP.POP.TOTL,38448400
Belize,BEL,"Population, total",SP.POP.TOTL,5568396
Bermuda,BER,"Population, total",SP.POP.TOTL,18050728
Bolivia,BOL,"Population, total",SP.POP.TOTL,22437618
Brazil,BRA,"Population, total",SP.POP.TOTL,216422446
Barbados,BAR,"Population, total",SP.POP.TOTL,23383325
Brunei Darussalam,BRU,"Population, total",SP.POP.TOTL,4674031
Bhutan,BHU,"Population, total",SP.POP.TOTL,1681598
Botswana,BOT,"Population, total",SP.POP.TOTL,74342194
Central African Republic,CEN,"Population, total",SP.POP.TOTL,84265758
Canada,CAN,"Population, total",SP.POP.TOTL,41308289
Central Europe and the Baltics,CEN,"Population, total",SP.POP.TOTL,9082196
Switzerland,SWI,"Population, total",SP.POP.TOTL,2569432
Channel Islands,CHA,"Population, total",SP.POP.TOTL,28818769
Chile,CHI,"Population, total",SP.POP.TOTL,14502271
China,CHI,"Population, total",SP.POP.TOTL,1409670000
